[DUENAS, Sandra, Varia, Nemira, 1803]
[MITCHIEVICI, Helene, Cinema, Humanitas, 1927]
[NABOKOV, Daniela, Cinema, Humanitas, 1927]
[PRALONG, Daniela, Cinema, Humanitas, 1927]
[PRALONG, Victor, Cinema, Humanitas, 1927]
[POP, Vladimir, Gandirea Salbatica, Aramis, 1894]
[PRALONG, Victor, Patru Barbati plus Aurelius, Rao Books, 2005]
[SUVOROV, Florina, Forta politica a femeilor, Aramis, 1996]
[HUXLEY, Ovidiu, Forta politica a femeilor, Aramis, 1996]
[NABOKOV, Vladimir, Macel in Georgia, Aramis, 1938]
[NABOKOV, Vladimir, Istoria limbii romane, Rao Books, 1903]
[RENAUD, Ovidiu, Istoria limbii romane, Rao Books, 1903]
[POP, Angelo, Trickster, ALL, 1904]
[RUSTI, Victor, Demonii Vantului, Aramis, 1894]
[ZECA-BUZURA, Helene, Si Hams si Regretel, Aramis, 1932]
[RENAUD, Florina, Si Hams si Regretel, Humanitas, 1948]
[MITCHIEVICI, Helene, Varia, Humanitas, 1957]
[ZECA-BUZURA, Dumitru, Varia, Humanitas, 1957]
[ILIS, Daniela, Varia, Humanitas, 1957]
[HUXLEY, Maria, Varia, Curtea Veche, 1951]
[PRALONG, Dumitru, Varia, Curtea Veche, 1951]
[ILIS, Vladimir, Iubirile croitoresei, Curtea Veche, 1945]
[RUSTI, Doina, Iubirile croitoresei, Trei, 1887]
[ZECA-BUZURA, Dumitru, Si Hams si Regretel, Corint, 1812]
[CRUDU, Aldous, Si Hams si Regretel, Corint, 1812]
[MITCHIEVICI, Helene, De ce m-am reintors in Romania, Aramis, 1888]
